WMU,Animal,Tag Type,Season Start,Season End
108,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
110,Mule deer,Antlerless (Archery),Sep 1,Nov 3
110,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
110,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
112,Mule deer,Antlerless (Archery),Sep 1,Nov 3
112,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
112,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
128,Mule deer,Antlerless (Archery),Sep 1,Nov 3
128,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
128,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
130,Mule deer,Antlerless (Archery),Sep 1,Nov 3
130,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
130,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
132,Mule deer,Antlerless (Archery),Sep 1,Nov 3
132,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
132,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
134,Mule deer,Antlerless (Archery),Sep 1,Nov 3
134,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
134,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
136,Mule deer,Antlerless (Archery),Sep 1,Nov 3
136,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
136,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
138,Mule deer,Antlerless (Archery),Sep 1,Nov 3
138,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
138,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
140,Mule deer,Antlerless (Archery),Sep 1,Nov 3
140,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
140,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
156,Mule deer,Antlerless (Archery),Sep 1,Nov 3
156,Mule deer,Antlerless (General),Nov 4,"N7, N11 - N14,"
156,Mule deer,Antlerless (General),Nov 18,"N21, N25 - N28"
102,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
102,Moose,Antlered and antlerless (General),Nov 1,Nov 30
116,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
116,Moose,Antlered and antlerless (General),Nov 1,Nov 30
118,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
118,Moose,Antlered and antlerless (General),Nov 1,Nov 30
119,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
