WMU,Animal,Tag Type,Season Start,Season End
248,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 30
206,Mule deer,Antlered (Archery),Sep 1,Oct 31
206,Mule deer,Antlered (General),Nov 1,Nov 30
208,Mule deer,Antlered (Archery),Sep 1,Oct 31
208,Mule deer,Antlered (General),Nov 1,Nov 30
210,Mule deer,Antlered (Archery),Sep 1,Oct 31
210,Mule deer,Antlered (General),Nov 1,Nov 30
214,Mule deer,Antlered (Archery),Sep 1,Oct 31
214,Mule deer,Antlered (General),Nov 1,Nov 30
216,Mule deer,Antlered (Archery),Sep 1,Oct 31
216,Mule deer,Antlered (General),Nov 1,Nov 30
220,Mule deer,Antlered (Archery),Sep 1,Oct 31
220,Mule deer,Antlered (General),Nov 1,Nov 30
221,Mule deer,Antlered (Archery),Sep 1,Oct 31
221,Mule deer,Antlered (General),Nov 1,Nov 30
222,Mule deer,Antlered (Archery),Sep 1,Oct 31
222,Mule deer,Antlered (General),Nov 1,Nov 30
224,Mule deer,Antlered (Archery),Sep 1,Oct 31
224,Mule deer,Antlered (General),Nov 1,Nov 30
